"","hour","vehicleClass","count"
"1",0,1,19
"2",0,2,650
"3",0,3,436
"4",0,5,7
"5",0,6,3
"6",0,8,5
"7",0,9,5
"8",0,11,1
"9",0,12,1
"10",0,14,427
"11",0,15,13
"12",1,1,15
"13",1,2,334
"14",1,3,245
"15",1,5,9
"16",1,6,11
"17",1,8,1
"18",1,9,10
"19",1,14,291
"20",1,15,3
"21",2,1,13
"22",2,2,229
"23",2,3,146
"24",2,5,9
"25",2,6,8
"26",2,7,1
"27",2,8,1
"28",2,9,18
"29",2,14,237
"30",2,15,4
"31",3,1,16
"32",3,2,219
"33",3,3,138
"34",3,5,8
"35",3,6,20
"36",3,8,4
"37",3,9,16
"38",3,14,244
"39",3,15,10
"40",4,1,25
"41",4,2,393
"42",4,3,163
"43",4,4,1
"44",4,5,25
"45",4,6,15
"46",4,8,9
"47",4,9,31
"48",4,11,1
"49",4,14,399
"50",4,15,15
"51",5,1,33
"52",5,2,1130
"53",5,3,323
"54",5,5,49
"55",5,6,27
"56",5,7,1
"57",5,8,5
"58",5,9,34
"59",5,11,3
"60",5,14,615
"61",5,15,41
"62",6,1,41
"63",6,2,1445
"64",6,3,400
"65",6,5,57
"66",6,6,24
"67",6,7,2
"68",6,8,4
"69",6,9,26
"70",6,14,840
"71",6,15,74
"72",7,1,37
"73",7,2,1178
"74",7,3,411
"75",7,4,1
"76",7,5,43
"77",7,6,23
"78",7,7,6
"79",7,8,5
"80",7,9,17
"81",7,14,654
"82",7,15,35
"83",8,1,34
"84",8,2,1228
"85",8,3,412
"86",8,5,60
"87",8,6,22
"88",8,7,2
"89",8,9,23
"90",8,10,4
"91",8,14,637
"92",8,15,57
"93",9,1,34
"94",9,2,1211
"95",9,3,371
"96",9,4,3
"97",9,5,36
"98",9,6,18
"99",9,7,7
"100",9,8,3
"101",9,9,24
"102",9,10,2
"103",9,14,733
"104",9,15,56
"105",10,1,39
"106",10,2,1211
"107",10,3,441
"108",10,4,2
"109",10,5,36
"110",10,6,16
"111",10,7,5
"112",10,8,7
"113",10,9,26
"114",10,10,1
"115",10,14,741
"116",10,15,59
"117",11,1,33
"118",11,2,1240
"119",11,3,475
"120",11,5,31
"121",11,6,17
"122",11,7,3
"123",11,8,6
"124",11,9,11
"125",11,10,1
"126",11,14,682
"127",11,15,39
"128",12,1,30
"129",12,2,1406
"130",12,3,555
"131",12,5,32
"132",12,6,15
"133",12,7,3
"134",12,9,13
"135",12,14,659
"136",12,15,52
"137",13,1,36
"138",13,2,1457
"139",13,3,609
"140",13,5,32
"141",13,6,18
"142",13,7,6
"143",13,8,1
"144",13,9,22
"145",13,10,1
"146",13,14,649
"147",13,15,61
"148",14,1,40
"149",14,2,1605
"150",14,3,712
"151",14,5,23
"152",14,6,6
"153",14,8,3
"154",14,9,14
"155",14,14,715
"156",14,15,69
"157",15,1,39
"158",15,2,1670
"159",15,3,763
"160",15,4,2
"161",15,5,20
"162",15,6,1
"163",15,7,4
"164",15,8,2
"165",15,9,7
"166",15,14,611
"167",15,15,85
"168",16,1,27
"169",16,2,1381
"170",16,3,857
"171",16,4,3
"172",16,5,18
"173",16,6,2
"174",16,7,1
"175",16,9,2
"176",16,14,705
"177",16,15,197
"178",17,1,30
"179",17,2,847
"180",17,3,1050
"181",17,5,8
"182",17,6,1
"183",17,9,3
"184",17,14,818
"185",17,15,396
"186",18,1,33
"187",18,2,839
"188",18,3,886
"189",18,5,4
"190",18,6,6
"191",18,8,1
"192",18,9,4
"193",18,14,903
"194",18,15,341
"195",19,1,21
"196",19,2,1279
"197",19,3,791
"198",19,4,2
"199",19,5,6
"200",19,6,13
"201",19,9,5
"202",19,14,624
"203",19,15,128
"204",20,1,32
"205",20,2,1365
"206",20,3,746
"207",20,5,8
"208",20,6,2
"209",20,9,2
"210",20,11,2
"211",20,14,547
"212",20,15,50
"213",21,1,26
"214",21,2,1274
"215",21,3,746
"216",21,4,2
"217",21,5,3
"218",21,6,2
"219",21,8,3
"220",21,9,4
"221",21,12,1
"222",21,14,451
"223",21,15,30
"224",22,1,33
"225",22,2,1175
"226",22,3,656
"227",22,5,9
"228",22,6,3
"229",22,8,1
"230",22,9,7
"231",22,14,459
"232",22,15,41
"233",23,1,27
"234",23,2,1028
"235",23,3,593
"236",23,4,1
"237",23,5,5
"238",23,6,4
"239",23,8,1
"240",23,9,11
"241",23,11,1
"242",23,12,1
"243",23,14,412
"244",23,15,24
