year,month,day,hour,minute,seconds,thousandsSeconds,vehicleNumber,sortDecision,errorCode,statusCode,recordType,lane,speed,vehicleClass,vehicleType,maxLength,length,frontBumperSpace,rearBumperSpace,maxGVW,GVW,ESAL,maxAxleWeight,axleWeight,axleGroup,axleFootprint,axleViolations,spacingToNextAxle,maxAxleWeight.1,axleWeight.1,axleGroup.1,axleFootprint.1,axleViolations.1,spacingToNextAxle.1,maxAxleWeight.2,axleWeight.2,axleGroup.2,axleFootprint.2,axleViolations.2,spacingToNextAxle.2,maxAxleWeight.3,axleWeight.3,axleGroup.3,axleFootprint.3,axleViolations.3,spacingToNextAxle.3,maxAxleWeight.4,axleWeight.4,axleGroup.4,axleFootprint.4,axleViolations.4,spacingToNextAxle.4,maxAxleWeight.5,axleWeight.5,axleGroup.5,axleFootprint.5,axleViolations.5,spacingToNextAxle.5,maxAxleWeight.6,axleWeight.6,axleGroup.6,axleFootprint.6,axleViolations.6,spacingToNextAxle.6,maxAxleWeight.7,axleWeight.7,axleGroup.7,axleFootprint.7,axleViolations.7,spacingToNextAxle.7,maxAxleWeight.8,axleWeight.8,axleGroup.8,axleFootprint.8,axleViolations.8,spacingToNextAxle.8,maxAxleWeight.9,axleWeight.9,axleGroup.9,axleFootprint.9,axleViolations.9,spacingToNextAxle.9,maxAxleWeight.10,axleWeight.10,axleGroup.10,axleFootprint.10,axleViolations.10,spacingToNextAxle.10,maxAxleWeight.11,axleWeight.11,axleGroup.11,axleFootprint.11,axleViolations.11,spacingToNextAxle.11,maxAxleWeight.12,axleWeight.12,axleGroup.12,axleFootprint.12,axleViolations.12,spacingToNextAxle.12,maxAxleWeight.13,axleWeight.13,axleGroup.13,axleFootprint.13,axleViolations.13,externalDataItemTag,externalDataItemInfo,externalDataItemTag.1,externalDataItemInfo.1,externalDataItemTag.2,externalDataItemInfo.2,externalDataItemTag.3,externalDataItemInfo.3,externalDataItemTag.4,externalDataItemInfo.4,externalDataItemTag.5,externalDataItemInfo.5,externalDataItemTag.6,externalDataItemInfo.6,externalDataItemTag.7,externalDataItemInfo.7,externalDataItemTag.8,externalDataItemInfo.8,externalDataItemTag.9,externalDataItemInfo.9,temperature,direction
18,6,4,16,32,35,980,46338,0,0,0,12,3,65.24,3,4,0,22.1,6.4,3.7,0,3.6,4.00E-04,0,1.8,1,0,0,11.9,0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,78,West
18,6,15,19,4,41,30,48971,0,0,0,12,3,20.51,2,3,0,10.7,0,4.5,0,1.9,4.00E-04,0,1.1,1,0,0,6.2,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,91,East
18,6,4,5,43,29,730,22976,0,0,0,12,3,70.84,3,4,0,24.3,8.4,4.2,0,2.9,4.00E-04,0,1.5,1,0,0,11.7,0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,68,West
18,6,15,12,12,40,860,35208,0,0,0,12,3,35.42,2,3,0,16.9,0,9.8,0,2.5,4.00E-04,0,1.4,1,0,0,7.1,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,84,East
18,6,4,8,57,49,70,29956,0,0,0,12,2,55.3,2,3,0,20.5,4,6.5,0,2.8,4.00E-04,0,1.7,1,0,0,10,0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,68,West
18,6,4,11,59,19,610,36266,2,4,0,0,2,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IMAGE_FN,Image083937_2,1:SORT*,"R,1,0000,0000,0000",,,,,,,,,,,,,NA,NA,NA,NA,68,West
18,6,15,21,0,38,750,52271,0,0,0,12,2,29.83,2,3,0,20.3,0,13.6,0,3.2,4.00E-04,0,1.8,1,0,0,6.8,0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,89,East
18,6,15,0,10,23,20,20659,0,0,0,12,2,36.04,2,3,0,13.5,0,6.5,0,3.1,4.00E-04,0,1.7,1,0,0,7.1,0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:SORT*,"0,1,0000,0000,0000",,,,,,,,,,,,,,,NA,NA,NA,NA,86,East
18,6,15,10,42,11,940,6955,2,10,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DTUNE_MEAS,#  3 max  51 min 255,IMAGE_FN,Image081726_1,IMAGE_FN,Image097133_4,IMAGE_FN,Image097141_3,LP_NUM,AN117E,LP_JUR,NJ,LP_CONF,93,1:SORT*,"R,1,0000,0000,0000",NA,NA,NA,NA,80,East
18,6,15,12,17,13,520,35345,2,0,00000000000000c0,12,2,32.93,15,256,0,18.7,0,0,0,4.5,6.00E-04,0,1.4,1,0,0,35.5,0,1.7,1,0,0,8.5,0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IMAGE_FN,Image017588_2,1:SORT*,"R,1,0000,0000,0000",,,,,,,,,,,,,NA,NA,NA,NA,84,East
